characters: 950623
words: 9695
lines: 11237

since  : 86 
grandmother  : 16 
died  : 33 
months  : 4 
missed  : 1 
every  : 91 
single  : 54 
unfair  : 3 
thinking  : 79 
extra  : 8 
hard  : 27 
forget  : 20 
concentrated  : 2 
dying  : 5 
also  : 387 
mind  : 119 
thing  : 151 
happened  : 50 
conjuring  : 2 
intense  : 4 
appreciate  : 6 
terribly  : 8 
good  : 144 
sides  : 8 
coin  : 10 
turning  : 7 
clearer  : 4 
side  : 52 
became  : 78 
experience  : 72 
without  : 83 
realizing  : 4 
incredibly  : 1 
amazing  : 5 
granny  : 3 
saying  : 51 
doctor  : 10 
realized  : 22 
rich  : 6 
tragic  : 4 
understood  : 10 
gift  : 3 
find  : 104 
perhaps  : 82 
should  : 96 
arrived  : 26 
hurried  : 9 
inside  : 55 
startled  : 5 
empty  : 22 
took  : 84 
well  : 155 
tore  : 8 
open  : 40 
fished  : 4 
note  : 33 
size  : 8 
does  : 111 
nobody  : 27 
knows  : 23 
fair  : 19 
least  : 71 
inquiring  : 2 
head  : 58 
spin  : 2 
decided  : 28 
secret  : 22 
hiding  : 3 
place  : 50 
angry  : 12 
miserable  : 1 
today  : 98 
simply  : 45 
confused  : 6 
surrounded  : 4 
lots  : 18 
flowerbeds  : 2 
kinds  : 22 
spacious  : 4 
lawn  : 6 
glider  : 16 
little  : 206 
gazebo  : 1 
granddad  : 1 
built  : 23 
lost  : 27 
child  : 60 
born  : 38 
marie  : 4 
gravestone  : 2 
greeted  : 2 
left  : 61 
raspberry  : 1 
thicket  : 7 
flowers  : 13 
berries  : 1 
grow  : 31 
actually  : 77 
hedge  : 28 
marked  : 4 
boundary  : 2 
trimmed  : 3 
twenty  : 18 
years  : 161 
grown  : 12 
tangled  : 1 
impenetrable  : 2 
used  : 47 
harder  : 8 
foxes  : 1 
take  : 87 
chickens  : 5 
free  : 66 
range  : 3 
everyone  : 37 
useless  : 4 
rabbit  : 47 
hutches  : 2 
discovered  : 23 
hole  : 4 
remember  : 65 
crawled  : 11 
cavity  : 1 
between  : 223 
knew  : 66 
clutching  : 2 
crouched  : 2 
fours  : 2 
wormed  : 1 
high  : 23 
enough  : 62 
stand  : 9 
upright  : 4 
gnarled  : 2 
roots  : 21 
tiny  : 42 
peepholes  : 1 
twigs  : 3 
leaves  : 10 
although  : 57 
none  : 9 
holes  : 9 
view  : 74 
whole  : 122 
watch  : 25 
searching  : 8 
among  : 26 
each  : 95 
heard  : 71 
bible  : 35 
reminded  : 8 
sitting  : 55 
surveying  : 1 
paradise  : 1 
faintest  : 3 
planet  : 29 
space  : 49 
possible  : 54 
existed  : 35 
case  : 43 
need  : 50 
figure  : 30 
deep  : 41 
protested  : 4 
exists  : 41 
beginning  : 41 
sometime  : 6 
created  : 46 
deferring  : 1 
problem  : 30 
learned  : 32 
console  : 1 
best  : 40 
solution  : 6 
accept  : 20 
himself  : 111 
though  : 41 
create  : 17 
things  : 199 
self  : 24 
possibility  : 13 
rejected  : 19 
drat  : 2 
annoying  : 3 
questions  : 83 
anyway  : 27 
jolted  : 1 
everyday  : 15 
existence  : 68 
face  : 28 
riddles  : 7 
universe  : 84 
third  : 22 
mailman  : 8 
delivered  : 6 
bulky  : 2 
periodicals  : 1 
couple  : 28 
postcard  : 21 
tropical  : 1 
beach  : 3 
card  : 60 
wegian  : 1 
postmarked  : 9 
battalion  : 12 
completely  : 57 
handwriting  : 3 
pulse  : 1 
quicken  : 1 
addressed  : 11 
hilde  : 404 
moller  : 22 
knag  : 58 
rest  : 25 
address  : 12 
correct  : 9 
dear  : 59 
birthday  : 125 
sure  : 94 
understand  : 72 
want  : 51 
give  : 87 
present  : 62 
will  : 324 
help  : 44 
forgive  : 5 
sending  : 12 
easiest  : 5 
love  : 55 
raced  : 2 
back  : 171 
turmoil  : 4 
whose  : 11 
fifteenth  : 22 
month  : 5 
telephone  : 10 
book  : 91 
entire  : 24 
directory  : 1 
examined  : 7 
genuine  : 7 
postmark  : 5 
send  : 15 
obviously  : 28 
intended  : 7 
somewhere  : 23 
kind  : 81 
cheat  : 5 
daughter  : 29 
purposely  : 2 
astray  : 3 
above  : 40 
supposed  : 14 
trace  : 3 
worry  : 12 
thoughts  : 47 
order  : 40 
short  : 29 
hours  : 32 
presented  : 6 
problems  : 15 
second  : 33 
these  : 195 
sent  : 10 
interconnected  : 1 
perfectly  : 13 
ordinary  : 17 
require  : 6 
philosophers  : 144 
faculty  : 13 
wonder  : 20 
hear  : 49 
anonymous  : 3 
writer  : 11 
tell  : 72 
anyone  : 18 
trouble  : 7 
concentrating  : 2 
teachers  : 4 
talk  : 74 
unimportant  : 8 
couldn  : 41 
feel  : 50 
everywhere  : 18 
concerned  : 27 
trivialities  : 1 
major  : 130 
needed  : 14 
solved  : 5 
anybody  : 6 
answers  : 21 
them  : 234 
important  : 122 
memorizing  : 1 
irregular  : 4 
verbs  : 3 
bell  : 2 
rang  : 5 
class  : 28 
catch  : 12 
while  : 92 
play  : 23 
cards  : 35 
evening  : 19 
shrugged  : 9 
shoulders  : 7 
interested  : 28 
games  : 1 
surprised  : 12 
badminton  : 5 
pavement  : 1 
friend  : 15 
kidding  : 2 
noticed  : 29 
touch  : 15 
bitterness  : 1 
tone  : 4 
telling  : 12 
shook  : 17 
yuck  : 3 
girls  : 10 
soccer  : 2 
field  : 16 
going  : 128 
quickest  : 1 
hurry  : 15 
visitors  : 5 
dental  : 1 
appointment  : 2 
regretted  : 4 
having  : 47 
mean  : 136 
become  : 64 
engrossed  : 5 
absorbed  : 3 
vital  : 14 
natural  : 145 
heart  : 12 
beating  : 3 
faster  : 4 
found  : 83 
brown  : 26 
darn  : 1 
looking  : 54 
forward  : 21 
getting  : 33 
unknown  : 7 
sender  : 1 
philosophy  : 270 
handle  : 3 
care  : 20 
flung  : 3 
stuffing  : 2 
under  : 67 
doormat  : 1 
sought  : 9 
refuge  : 1 
jumping  : 11 
typewritten  : 7 
pages  : 28 
held  : 46 
together  : 61 
clip  : 1 
hobbies  : 1 
collect  : 9 
coins  : 1 
foreign  : 4 
stamps  : 4 
needlework  : 1 
others  : 40 
spend  : 5 
spare  : 2 
particular  : 45 
sport  : 1 
enjoy  : 2 
reading  : 31 
tastes  : 3 
differ  : 2 
widely  : 13 
newspapers  : 2 
comics  : 1 
novels  : 2 
prefer  : 6 
books  : 26 
astronomy  : 5 
wildlife  : 1 
technological  : 3 
discoveries  : 6 
happen  : 43 
horses  : 23 
precious  : 1 
stones  : 8 
cannot  : 91 
expect  : 15 
share  : 7 
enthusiasm  : 2 
sports  : 3 
programs  : 3 
pleasure  : 15 
boring  : 4 
interests  : 5 
concerns  : 4 
matter  : 66 
interest  : 20 
precisely  : 38 
edge  : 13 
starvation  : 2 
cold  : 12 
warmth  : 5 
feels  : 6 
lonely  : 1 
isolated  : 1 
company  : 4 
basic  : 28 
needs  : 23 
satisfied  : 5 
still  : 114 
everybody  : 28 
believe  : 88 
bread  : 5 
alone  : 26 
apart  : 8 
casual  : 5 
collecting  : 6 
such  : 156 
taking  : 19 
debate  : 3 
gold  : 22 
medals  : 1 
olympics  : 1 
approaching  : 10 
philosophical  : 98 
meaning  : 23 
happens  : 49 
ought  : 28 
asking  : 9 
throughout  : 17 
ages  : 79 
culture  : 55 
itself  : 84 
basically  : 7 
many  : 194 
ones  : 10 
history  : 116 
presents  : 12 
easier  : 10 
individual  : 46 
discover  : 11 
encyclopedia  : 13 
however  : 39 
believed  : 148 
formulate  : 3 
search  : 9 
truth  : 33 
resembles  : 2 
detective  : 2 
story  : 54 
andersen  : 4 
murderer  : 1 
nielsen  : 1 
jensen  : 1 
police  : 3 
able  : 40 
solve  : 5 
real  : 62 
crime  : 3 
equally  : 20 
bottom  : 6 
enigmas  : 2 
explained  : 15 
science  : 44 
moon  : 33 
shrouded  : 2 
mystery  : 26 
discussion  : 6 
imagination  : 26 
longer  : 30 
cheese  : 3 
greek  : 98 
philosopher  : 152 
thousand  : 29 
origin  : 14 
sense  : 86 
astonishing  : 6 
arose  : 14 
accord  : 6 
watching  : 9 
trick  : 16 
done  : 28 
magician  : 8 
change  : 45 
silk  : 16 
scarves  : 1 
incredulity  : 2 
pulls  : 2 
shown  : 3 
tricked  : 2 
comes  : 61 
somewhat  : 12 
sleight  : 2 
deception  : 2 
pulled  : 22 
difference  : 44 
unlike  : 14 
works  : 9 
might  : 93 
better  : 57 
compare  : 13 
microscopic  : 1 
insects  : 6 
existing  : 7 
trying  : 38 
climb  : 8 
fine  : 16 
hairs  : 11 
stare  : 3 
continued  : 29 
exhausted  : 9 
taken  : 29 
breathe  : 3 
both  : 188 
quarter  : 12 
sight  : 23 
twig  : 4 
snap  : 1 
pointless  : 1 
chase  : 1 
cookie  : 14 
full  : 21 
pretty  : 14 
emptied  : 3 
holding  : 17 
securely  : 1 
drew  : 14 
creature  : 19 
hello  : 7 
handy  : 1 
sized  : 1 
portions  : 1 
introductory  : 2 
remarks  : 3 
babies  : 4 
surprising  : 8 
womb  : 2 
brand  : 3 
reality  : 80 
seems  : 9 
diminish  : 1 
newborn  : 5 
baby  : 14 
reaches  : 4 
curiosity  : 1 
sees  : 6 
gradually  : 29 
acquired  : 3 
says  : 38 
jumps  : 1 
stroller  : 1 
waving  : 3 
arms  : 17 
older  : 10 
wiser  : 4 
unimpressed  : 1 
please  : 26 
enthralled  : 2 
seen  : 91 
rapturous  : 1 
performance  : 2 
repeat  : 3 
hundreds  : 8 
times  : 63 
learns  : 4 
pass  : 19 
crazy  : 13 
elephant  : 10 
hippopotamus  : 1 
properly  : 4 
philosophically  : 2 
habit  : 12 
pity  : 1 
concern  : 8 
those  : 56 
granted  : 9 
experiments  : 3 
begin  : 30 
walk  : 25 
spaceship  : 2 
martian  : 3 
climbs  : 2 
stands  : 6 
ground  : 28 
ever  : 66 
yourself  : 47 
unlikely  : 8 
stumble  : 4 
upon  : 18 
planets  : 21 
stop  : 25 
light  : 72 
waking  : 5 
enchanted  : 3 
slumber  : 1 
stumbling  : 1 
manner  : 10 
mentioned  : 17 
outer  : 17 
follow  : 15 
experiment  : 7 
morning  : 56 
thomas  : 16 
aged  : 7 
breakfast  : 14 
gets  : 37 
goes  : 27 
sink  : 4 
flies  : 1 
floats  : 1 
ceiling  : 4 
sits  : 3 
points  : 9 
daddy  : 1 
flying  : 6 
astonished  : 3 
business  : 7 
flight  : 6 
makes  : 33 
shaves  : 1 
funny  : 10 
machine  : 9 
roof  : 7 
turns  : 13 
aerial  : 1 
sticks  : 2 
hood  : 3 
turn  : 40 
hears  : 2 
abruptly  : 1 
reacts  : 1 
floating  : 9 
nonchalantly  : 1 
drops  : 4 
screams  : 2 
fright  : 3 
medical  : 7 
attention  : 27 
returned  : 14 
respectably  : 1 
chair  : 16 
manners  : 1 
differently  : 7 
sadly  : 2 
force  : 40 
gravity  : 13 
becomes  : 18 
process  : 29 
growing  : 6 
lose  : 15 
ability  : 26 
doing  : 31 
central  : 26 
restore  : 4 
ourselves  : 44 
tells  : 18 
huge  : 22 
experienced  : 47 
precise  : 13 
various  : 35 
reasons  : 6 
caught  : 14 
affairs  : 4 
astonishment  : 2 
pushed  : 9 
background  : 16 
crawl  : 6 
snuggle  : 1 
comfortably  : 9 
stay  : 10 
lives  : 36 
children  : 36 
gives  : 16 
rise  : 9 
adults  : 4 
notable  : 1 
exception  : 3 
continues  : 3 
bewildering  : 1 
enigmatic  : 6 
thus  : 80 
common  : 39 
remains  : 12 
thin  : 10 
skinned  : 2 
weary  : 2 
shake  : 2 
your  : 176 
recognizing  : 1 
gotten  : 16 
astonishes  : 2 
receiving  : 4 
allow  : 2 
join  : 7 
ranks  : 1 
apathetic  : 1 
indifferent  : 3 
charge  : 2 
money  : 21 
complete  : 11 
break  : 16 
leave  : 23 
message  : 16 
frog  : 9 
eminently  : 1 
suitable  : 4 
otherwise  : 12 
scared  : 9 
summarize  : 2 
briefly  : 11 
extremely  : 14 
takes  : 24 
billions  : 11 
mortals  : 8 
position  : 14 
impossibility  : 2 
themselves  : 59 
deeper  : 8 
comfortable  : 4 
risk  : 4 
crawling  : 3 
fragile  : 1 
embark  : 1 
perilous  : 2 
expedition  : 2 
outermost  : 2 
language  : 29 
fall  : 37 
cling  : 3 
desperately  : 5 
yell  : 4 
nestling  : 1 
snug  : 1 
softness  : 1 
delicious  : 3 
drink  : 8 
ladies  : 1 
gentlemen  : 2 
bunch  : 3 
troublemakers  : 1 
keep  : 44 
chatting  : 1 
butter  : 1 
stocks  : 1 
risen  : 6 
price  : 4 
tomatoes  : 2 
princess  : 3 
expecting  : 4 
later  : 65 
practically  : 8 
shock  : 3 
containing  : 4 
safely  : 4 
hidden  : 12 
stopped  : 19 
grabbed  : 6 
neck  : 10 
played  : 14 
tips  : 2 
seeing  : 17 
rescued  : 4 
doubt  : 23 
saved  : 16 
triviality  : 1 
five  : 27 
clock  : 44 
dragged  : 6 
armchair  : 4 
suppose  : 24 
talking  : 57 
less  : 43 
grownups  : 2 
lulled  : 1 
sleep  : 19 
humdrum  : 1 
surprises  : 3 
totally  : 20 
spoken  : 10 
minute  : 29 
potatoes  : 5 
half  : 34 
hour  : 18 
news  : 3 
anxious  : 4 
expression  : 30 
indeed  : 25 
voice  : 23 
serious  : 12 
haven  : 31 
mixed  : 3 
drugs  : 4 
laugh  : 6 
nuts  : 3 
duller  : 1 
rabbits  : 4 
myths  : 19 
precarious  : 2 
balance  : 7 
forces  : 23 
evil  : 30 
interminable  : 3 
bored  : 1 
stiff  : 1 
breaks  : 1 
talked  : 24 
camping  : 3 
eternity  : 15 
mexico  : 1 
wrote  : 61 
longing  : 5 
chief  : 1 
officer  : 2 
chess  : 1 
finished  : 15 
aboard  : 2 
winter  : 12 
leaving  : 9 
mythological  : 9 
picture  : 66 
delay  : 1 
evolved  : 9 
greece  : 12 
hundred  : 33 
christ  : 14 
religions  : 20 
religious  : 48 
explanations  : 13 
handed  : 17 
generation  : 15 
form  : 83 
myth  : 15 
gods  : 54 
sets  : 5 
explain  : 34 
millennia  : 1 
wild  : 5 
profusion  : 2 
spread  : 10 
attempted  : 5 
prove  : 22 
trusted  : 1 
nordic  : 5 
examples  : 20 
carry  : 10 
coals  : 2 
newcastle  : 2 
thor  : 27 
hammer  : 19 
christianity  : 61 
norway  : 20 
rode  : 2 
chariot  : 1 
drawn  : 18 
goats  : 1 
swung  : 7 
thunder  : 17 
word  : 75 
norwegian  : 28 
means  : 91 
roar  : 1 
swedish  : 5 
aska  : 2 
journey  : 3 
heavens  : 3 
rain  : 16 
viking  : 2 
farmers  : 2 
worshipped  : 6 
fertility  : 5 
explanation  : 38 
therefore  : 99 
swinging  : 2 
rained  : 3 
corn  : 1 
germinated  : 1 
thrived  : 1 
fields  : 6 
plants  : 24 
yield  : 2 
crops  : 4 
clearly  : 35 
somehow  : 3 
connected  : 9 
norse  : 9 
reason  : 204 
related  : 17 
vikings  : 2 
inhabited  : 3 
island  : 7 
constant  : 21 
threat  : 7 
dangers  : 1 
midgard  : 4 
kingdom  : 31 
middle  : 95 
within  : 33 
asgard  : 2 
domain  : 2 
utgard  : 2 
treacherous  : 2 
giants  : 15 
resorted  : 1 
cunning  : 2 
tricks  : 4 
destroy  : 4 
monsters  : 2 
referred  : 5 
chaos  : 5 
mythology  : 9 
cultures  : 22 
abducting  : 1 
freyja  : 9 
goddess  : 4 
women  : 69 
hold  : 20 
check  : 4 
battle  : 4 
weapon  : 2 
struggle  : 26 
against  : 55 
dangerous  : 8 
gave  : 39 
unlimited  : 2 
power  : 35 
example  : 122 
hurl  : 3 
slay  : 1 
losing  : 5 
boomerang  : 1 
nature  : 253 
maintained  : 5 
idly  : 2 
wait  : 25 
intervene  : 7 
catastrophes  : 3 
